Primary Devolatilization Products       ,,,,,,,,,,,,,,,,
time s ,Tmp C  ,Gas    ,Tar    ,Wt Loss,Char   ,CO2    ,H2O    ,CO     ,GHCs   ,CH4    ,C2H4   ,C2H6   ,C3H6   ,C3H8   ,H2     ,H2S    
0.00E+00,25,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
1.10E-03,63,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2.21E-03,102,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
3.31E-03,141,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
4.41E-03,179,0.01,0,0.01,99.99,0,0,0,0,0,0,0,0,0,0,0
5.51E-03,218,0.03,0.01,0.04,99.96,0,0.01,0,0.01,0,0,0,0,0,0,0
6.62E-03,256,0.06,0.07,0.13,99.87,0.01,0.02,0,0.02,0.01,0,0,0,0,0,0
7.72E-03,295,0.12,0.28,0.4,99.6,0.02,0.04,0.01,0.04,0.02,0.01,0.01,0.01,0,0,0
8.82E-03,334,0.2,0.69,0.89,99.11,0.03,0.07,0.01,0.07,0.03,0.01,0.01,0.01,0,0,0
9.92E-03,372,0.32,0.96,1.28,98.72,0.06,0.11,0.02,0.12,0.06,0.02,0.02,0.02,0,0,0
1.10E-02,411,0.5,1.16,1.66,98.34,0.09,0.17,0.04,0.19,0.09,0.03,0.03,0.04,0,0,0
1.21E-02,449,0.76,1.57,2.32,97.68,0.13,0.26,0.05,0.29,0.14,0.05,0.05,0.05,0,0,0.01
1.32E-02,488,1.09,2.43,3.52,96.48,0.19,0.38,0.08,0.42,0.2,0.07,0.07,0.08,0,0,0.01
1.43E-02,527,1.53,3.82,5.35,94.65,0.27,0.53,0.11,0.59,0.27,0.1,0.1,0.11,0,0,0.01
1.54E-02,565,2.08,5.5,7.58,92.42,0.36,0.72,0.15,0.8,0.37,0.14,0.14,0.15,0,0,0.02
1.65E-02,604,2.79,7.69,10.48,89.52,0.49,0.97,0.2,1.07,0.5,0.19,0.18,0.2,0,0.01,0.03
1.76E-02,642,3.75,10.8,14.55,85.45,0.65,1.31,0.28,1.44,0.67,0.25,0.25,0.27,0,0.01,0.03
1.87E-02,681,5.01,14.24,19.25,80.75,0.87,1.75,0.38,1.93,0.9,0.34,0.33,0.36,0,0.01,0.04
1.99E-02,719,6.69,17.69,24.39,75.61,1.16,2.33,0.52,2.58,1.21,0.45,0.44,0.48,0,0.02,0.05
2.10E-02,758,8.58,21.2,29.78,70.22,1.48,2.98,0.69,3.3,1.54,0.58,0.57,0.62,0,0.03,0.06
2.21E-02,797,10,24.45,34.45,65.55,1.72,3.45,0.84,3.84,1.79,0.67,0.66,0.71,0,0.04,0.07
2.32E-02,835,11.16,27.49,38.65,61.35,1.91,3.83,0.98,4.25,1.99,0.75,0.73,0.79,0,0.05,0.08
2.43E-02,874,12.23,30.18,42.41,57.59,2.08,4.18,1.13,4.63,2.16,0.81,0.79,0.86,0,0.07,0.09
2.54E-02,912,13.21,32.44,45.65,54.35,2.23,4.48,1.28,4.96,2.32,0.87,0.85,0.92,0,0.1,0.1
2.65E-02,951,14.09,34.27,48.35,51.65,2.37,4.74,1.44,5.24,2.45,0.92,0.9,0.98,0,0.13,0.12
2.76E-02,990,14.86,35.69,50.54,49.46,2.47,4.96,1.6,5.48,2.56,0.96,0.94,1.02,0,0.16,0.13
2.87E-02,1028,15.52,36.75,52.27,47.73,2.56,5.13,1.75,5.66,2.64,0.99,0.97,1.06,0,0.2,0.14
2.98E-02,1067,16.08,37.52,53.61,46.39,2.63,5.27,1.9,5.81,2.71,1.02,0.99,1.08,0,0.26,0.15
3.09E-02,1105,16.56,38.06,54.62,45.38,2.68,5.37,2.04,5.92,2.76,1.04,1.01,1.1,0,0.32,0.16
3.20E-02,1144,16.97,38.42,55.39,44.61,2.72,5.45,2.18,6,2.8,1.05,1.03,1.12,0,0.39,0.16
3.31E-02,1183,17.32,38.65,55.97,44.03,2.74,5.5,2.3,6.05,2.82,1.06,1.04,1.13,0,0.47,0.16
3.42E-02,1221,17.62,38.8,56.42,43.58,2.76,5.54,2.41,6.09,2.84,1.07,1.04,1.13,0,0.56,0.17
3.53E-02,1260,17.89,38.89,56.78,43.22,2.77,5.56,2.5,6.11,2.85,1.07,1.05,1.14,0,0.67,0.17
3.64E-02,1298,18.14,38.94,57.08,42.92,2.78,5.58,2.58,6.13,2.86,1.08,1.05,1.14,0,0.79,0.17
3.75E-02,1337,18.37,38.97,57.34,42.66,2.79,5.59,2.65,6.14,2.87,1.08,1.05,1.14,0,0.93,0.17
3.86E-02,1375,18.6,38.99,57.58,42.42,2.79,5.59,2.7,6.14,2.87,1.08,1.05,1.15,0,1.04,0.17
3.97E-02,1414,18.6,38.99,57.59,42.41,2.79,5.59,2.74,6.14,2.87,1.08,1.05,1.15,0,1.04,0.17
4.08E-02,1453,18.64,38.99,57.63,42.37,2.79,5.59,2.77,6.14,2.87,1.08,1.05,1.15,0,1.04,0.17
4.19E-02,1491,18.67,38.99,57.66,42.34,2.79,5.59,2.79,6.14,2.87,1.08,1.05,1.15,0,1.04,0.17
4.30E-02,1530,18.7,38.99,57.69,42.31,2.79,5.59,2.81,6.14,2.87,1.08,1.05,1.15,0,1.04,0.17
